Zipcode,State,City,Grow Zone
07675,NJ,WESTWOOD,7-8
07677,NJ,WOODCLIFF LAKE,7-8
07885,NJ,WHARTON,7
07981,NJ,WHIPPANY,7
07999,NJ,WHIPPANY,7
08889,NJ,WHITEHOUSE STATION,7
07095,NJ,WOODBRIDGE,7
07481,NJ,WYCKOFF,7-8
10451,NY,BRONX,7-8
10452,NY,BRONX,7-8
10453,NY,BRONX,7-8
10454,NY,BRONX,7-8
10455,NY,BRONX,7-8
10456,NY,BRONX,7-8
10457,NY,BRONX,7-8
10458,NY,BRONX,7-8
10459,NY,BRONX,7-8
10460,NY,BRONX,7-8
10461,NY,BRONX,7-8
10462,NY,BRONX,7-8
10463,NY,BRONX,7-8
10464,NY,BRONX,7-8
10465,NY,BRONX,7-8
10466,NY,BRONX,7-8
10467,NY,BRONX,7-8
10468,NY,BRONX,7-8
10469,NY,BRONX,7-8
10470,NY,BRONX,7-8
10471,NY,BRONX,7-8
10472,NY,BRONX,7-8
10473,NY,BRONX,7-8
10474,NY,BRONX,7-8
10475,NY,BRONX,7-8
10001,NY,NEW YORK,7-8
10002,NY,NEW YORK,7-8
10003,NY,NEW YORK,7-8
10004,NY,NEW YORK,7-8
10005,NY,NEW YORK,7-8
10006,NY,NEW YORK,7-8
10007,NY,NEW YORK,7-8
10009,NY,NEW YORK,7-8
10010,NY,NEW YORK,7-8
10011,NY,NEW YORK,7-8
10012,NY,NEW YORK,7-8
10013,NY,NEW YORK,7-8
10014,NY,NEW YORK,7-8
10016,NY,NEW YORK,7-8
10017,NY,NEW YORK,7-8
10018,NY,NEW YORK,7-8
10019,NY,NEW YORK,7-8
10020,NY,NEW YORK,7-8
10021,NY,NEW YORK,7-8
10022,NY,NEW YORK,7-8
10023,NY,NEW YORK,7-8
10024,NY,NEW YORK,7-8
10025,NY,NEW YORK,7-8
10026,NY,NEW YORK,7-8
10027,NY,NEW YORK,7-8
10028,NY,NEW YORK,7-8
10029,NY,NEW YORK,7-8
10030,NY,NEW YORK,7-8
10031,NY,NEW YORK,7-8
10032,NY,NEW YORK,7-8
10033,NY,NEW YORK,7-8
10034,NY,NEW YORK,7-8
02478,MA,BELMONT,6-7
02445,MA,BROOKLINE,6-7
02446,MA,BROOKLINE,6-7
02420,MA,LEXINGTON,6-7
02421,MA,LEXINGTON,6-7
02492,MA,NEEDHAM,6-7
02494,MA,NEEDHAM HEIGHTS,6-7
02458,MA,NEWTON,6-7
02459,MA,NEWTON CENTER,6-7
02460,MA,NEWTONVILLE,6-7
02461,MA,NEWTON HIGHLANDS,6-7
02462,MA,NEWTON LOWER FALLS,6-7
02464,MA,NEWTON UPPER FALLS,6-7
02465,MA,WEST NEWTON,6-7
02466,MA,AUBURNDALE,6-7
02467,MA,CHESTNUT HILL,6-7
02468,MA,WABAN,6-7
02451,MA,WALTHAM,6-7
02452,MA,WALTHAM,6-7
02453,MA,WALTHAM,6-7
02472,MA,WATERTOWN,6-7
02481,MA,WELLESLEY HILLS,6-7
02482,MA,WELLESLEY,6-7
02493,MA,WESTON,6-7
02184,MA,BRAINTREE,6-7
02186,MA,MILTON,6-7
02169,MA,QUINCY,6-7
02170,MA,QUINCY,6-7
02171,MA,QUINCY,6-7
02188,MA,WEYMOUTH,6-7
02189,MA,EAST WEYMOUTH,6-7
02190,MA,SOUTH WEYMOUTH,6-7
02191,MA,NORTH WEYMOUTH,6-7
01718,MA,VILLAGE OF NAGOG WOODS,6
01719,MA,BOXBOROUGH,6
01720,MA,ACTON,6
02474,MA,ARLINGTON,6-7
02476,MA,ARLINGTON,6-7
02150,MA,CHELSEA,6-7
02149,MA,EVERETT,6-7
02152,MA,WINTHROP,6-7
02151,MA,REVERE,6-7
02148,MA,MALDEN,6-7
02176,MA,MELROSE,6-7
02155,MA,MEDFORD,6-7
02143,MA,SOMERVILLE,6-7
02144,MA,SOMERVILLE,6-7
02145,MA,SOMERVILLE,6-7
02180,MA,STONEHAM,6-7
01913,MA,AMESBURY,6
01810,MA,ANDOVER,6
02054,MA,MILLIS,6-7
01529,MA,MILLVILLE,6
02554,MA,NANTUCKET,7
01760,MA,NATICK,6-7
01531,MA,NEW BRAINTREE,5-6
01950,MA,NEWBURYPORT,6
01951,MA,NEWBURY,6
01952,MA,SALISBURY,6
02056,MA,NORFOLK,6-7
02351,MA,ABINGTON,6-7
01862,MA,NORTH BILLERICA,6
01532,MA,NORTHBOROUGH,6
01534,MA,NORTHBRIDGE,6
01535,MA,NORTH BROOKFIELD,5-6
02650,MA,NORTH CHATHAM,7
01863,MA,NORTH CHELMSFORD,6
02356,MA,NORTH EASTON,6-7
02556,MA,NORTH FALMOUTH,6-7
01536,MA,NORTH GRAFTON,6
01537,MA,NORTH OXFORD,5-6
01864,MA,NORTH READING,6-7
01430,MA,ASHBURNHAM,5-6
01431,MA,ASHBY,5-6
01721,MA,ASHLAND,6-7
01501,MA,AUBURN,5-6
02322,MA,AVON,6-7
01432,MA,AYER,6
01434,MA,DEVENS,6
